Date,Open,High,Low,Close,Volume,MA_21,RSI,MACD,Stochastic_Oscillator,ATR,Momentum_21,OBV,Cumulative_Return,Volatility,Price_Gap
2009-03-31,2.567500114440918,3.7804999351501465,2.381500005722046,3.671999931335449,12370496000,3.070679444192317,58.5120971730995,0.1368474465906977,65.43087831459326,0.11697799855090192,0.5724999904632568,6131718000,1.3509933844544415,0.21151405604911783,0.001449994246164906
2009-06-30,3.651000022888184,4.427999973297119,3.5855000019073486,4.183000087738037,9494416000,3.910457682627579,55.30969777651177,0.02360716713975819,58.38347741025347,0.10283955857326653,0.030499935150146484,11657492000,1.538999333164796,0.1610827643299478,-0.00125397954668314
2009-09-30,4.2210001945495605,4.724999904632568,3.7704999446868896,4.668000221252441,8324122000,4.182420385203192,53.23980684436389,0.1267267609193592,53.72771192997467,0.09290010136153018,0.6085000038146973,15869958000,1.7174394159779733,0.1575025085307259,-0.003992188721895232
2009-12-31,4.625,7.295499801635742,4.41349983215332,6.72599983215332,12727852000,5.71809559279964,63.82604107069571,0.11695516752881119,69.00480666759347,0.14065180559243476,-0.19900035858154297,22967222000,2.47461368382327,0.32806882438374957,0.027390643954277052
2010-03-31,6.8125,6.9095001220703125,5.690999984741211,6.78849983215332,11980988000,6.306039002795968,51.02032719652544,0.14229421108354146,48.48880668780145,0.13193148639777225,0.5119996070861816,28442446000,2.497608533525705,0.21474525613798823,0.006991839799724613
2010-06-30,6.789999961853027,7.554500102996826,5.30049991607666,5.4629998207092285,8946270000,6.603581621353138,47.69390600952972,-0.17793940779140627,46.68532090472147,0.17355214116794992,-0.6990003585815439,32191578000,2.009933756826025,0.23420121943559447,-0.009507943713475802
2010-09-30,5.445000171661377,8.08899974822998,5.289999961853027,7.853000164031982,8461340000,6.265865691715763,62.92702812538514,0.3762827265640496,74.28042277279044,0.14305361626403668,1.6115002632141113,37250014000,2.8892569357615416,0.27923762435865707,-0.011624976992607089
2010-12-31,7.854000091552734,9.282500267028809,7.570000171661377,9.0,7351132000,8.25772808208352,59.47195037258311,0.15182860300281042,66.95185392108044,0.165280681103468,0.1724996566772461,41034158000,3.3112583571503373,0.2592003182325474,0.01401561498641965
2011-03-31,9.068499565124512,9.579999923706056,8.029500007629395,9.006500244140625,6567336000,8.935299543741111,46.62817218846782,0.007588346861396644,46.93232935585988,0.15412322387167948,0.4055004119873047,44242214000,3.313649911343023,0.28148855602159256,-0.010701702487084288
2011-06-30,9.07900047302246,10.319499969482422,8.768500328063965,10.224499702453612,6371752000,9.383039992052051,57.06665463236264,0.13546380492272547,58.117103057606016,0.1672369758017752,0.6044998168945295,47843472000,3.7617733430478544,0.304725839025077,-0.0016189454093810875
2011-09-30,10.27750015258789,12.199999809265137,8.854999542236328,10.81149959564209,7832530000,10.363776771085602,58.313922151102794,0.20829352914589983,62.15967883840197,0.28046660231692433,0.0499992370605451,52173108000,3.9777409321552684,0.5046722631109918,0.008499965071678245
2011-12-31,10.850500106811523,12.33549976348877,8.34850025177002,8.654999732971191,8427954000,10.640116420552664,41.79978635892207,-0.35864638954488015,41.51064144276896,0.3124019607665047,-0.9595003128051758,55931104000,3.184326688548319,0.5128356652471515,-0.0024285392155721556
2012-03-31,8.794500350952148,10.49250030517578,8.600000381469727,10.125499725341797,7401848000,9.177773045687816,54.81455054143549,0.2605464341482744,62.383199449952556,0.19431217694612127,1.123499870300293,60270016000,3.7253495095401736,0.25662240110221374,-0.022629061052876077
