iter	Accuracy	MultiClass
0	1	1.375548623
1	1	1.364852385
2	1	1.354314891
3	1	1.34394455
4	1	1.333651803
5	1	1.323490836
6	1	1.313431827
7	1	1.303371429
8	1	1.293440385
9	1	1.283433394
10	1	1.273724122
11	1	1.264165705
12	1	1.25450273
13	1	1.245086063
14	1	1.236643098
15	1	1.227433118
16	1	1.218599059
17	1	1.209503087
18	1	1.20049702
19	1	1.191551208
20	1	1.182813211
21	1	1.174115614
22	1	1.165551619
23	1	1.157457612
24	1	1.149019241
25	1	1.140591275
26	1	1.132280176
27	1	1.126275323
28	1	1.11814707
29	1	1.110059998
30	1	1.102085807
31	1	1.094231259
32	1	1.086414337
33	1	1.078677958
34	1	1.071050644
35	1	1.063793529
36	1	1.056274241
37	1	1.048797607
38	1	1.04139406
39	1	1.036428105
40	1	1.03004785
41	1	1.022858013
42	1	1.015770739
43	1	1.011575699
44	1	1.004599051
45	1	0.9976891604
46	1	0.9908151627
47	1	0.9840211001
48	1	0.9773079265
49	1	0.9709543748
50	1	0.9643653523
51	1	0.9578125694
52	1	0.9513193477
53	1	0.9448210976
54	1	0.9384789033
55	1	0.9327328422
56	1	0.9265022278
57	1	0.9203316949
58	1	0.9141922864
59	1	0.9092922211
60	1	0.9032812986
61	1	0.8973274231
62	1	0.8914068395
63	1	0.8864701878
64	1	0.8806191358
65	1	0.8748614571
66	1	0.869170449
67	1	0.8635295521
68	1	0.8578917763
69	1	0.8523333289
70	1	0.8468490947
71	1	0.8413669413
72	1	0.8378290697
73	1	0.8324546814
74	1	0.8281559511
75	1	0.8228688674
76	1	0.8176087466
77	1	0.8137265986
78	1	0.8102754246
79	1	0.8051467375
80	1	0.8000876687
81	1	0.7950439453
82	1	0.7900751287
83	1	0.7860838283
84	1	0.7811946869
85	1	0.7763500214
86	1	0.7715272036
87	1	0.7667587454
88	1	0.7620220184
89	1	0.7589634982
90	1	0.7543151162
91	1	0.7501664595
92	1	0.7455759048
93	1	0.7410449982
94	1	0.7365535389
95	1	0.7321014404
96	1	0.7292346954
97	1	0.7248448892
98	1	0.7204789248
99	1	0.7161292163
100	1	0.7127531659
101	1	0.7084490169
102	1	0.7056127895
103	1	0.7020807266
104	1	0.6979054538
105	1	0.6942426075
106	1	0.6901350455
107	1	0.6860645468
108	1	0.6820379604
109	1	0.6794146191
110	1	0.6768228791
111	1	0.6728507389
112	1	0.6689298803
113	1	0.665038629
114	1	0.6611979658
115	1	0.658013864
116	1	0.654397661
117	1	0.6506452994
118	1	0.6473370465
119	1	0.6445598169
120	1	0.6408893845
121	1	0.6372339942
122	1	0.6344826438
123	1	0.6321192655
124	1	0.6285507896
125	1	0.6249948848
126	1	0.6220584349
127	1	0.6193946058
128	1	0.615901947
129	1	0.613527298
130	1	0.6112175855
131	1	0.6083514474
132	1	0.6049780412
133	1	0.601632465
134	1	0.5994420919
135	1	0.5971798463
