Date,RSI,Stochastic_Oscillator,Price_Gap,Federal_Funds_Rate_Quarterly,cashAndCashEquivalentsAtCarryingValue,totalNonCurrentAssets,intangibleAssets,shortTermInvestments,otherCurrentAssets,shortLongTermDebtTotal,commonStock,commonStockSharesOutstanding,operatingCashflow,changeInOperatingLiabilities,changeInOperatingAssets,changeInReceivables,changeInInventory,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,proceedsFromRepurchaseOfEquity,netIncome_x,surprise,surprisePercentage,operatingIncome,sellingGeneralAndAdministrative,investmentIncomeNet,netInterestIncome,interestExpense,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_y,Quarterly_Return,Volatility_Adjusted_Class,Year
2023-03-31,54.28370403153059,57.0351766869378,-0.0645161290322569,4.516666666666667,49343000000.0,137417000000.0,22749000000.0,15062000000.0,377000000.0,70572000000.0,108000000.0,10258000000.0,4788000000.0,-10446000000.0,-371000000.0,1521000000.0,-371000000.0,0.0,0.0,0.0,3172000000.0,0.1,47.619,4774000000.0,13215000000.0,611000000.0,-823000000.0,823000000.0,4120000000.0,948000000.0,823000000.0,3686000000.0,4943000000.0,6489000000.0,3172000000.0,0.2620776401867071,4,2023
2023-06-30,62.97985751066664,74.22262989010217,0.2709680372668858,4.989999999999999,49529000000.0,143356000000.0,22785000000.0,14441000000.0,9000000000.0,68572000000.0,108000000.0,10313000000.0,16476000000.0,3185000000.0,2373000000.0,-5167000000.0,2373000000.0,0.0,0.0,0.0,6750000000.0,0.3,85.7143,7681000000.0,13947000000.0,661000000.0,-840000000.0,840000000.0,7554000000.0,804000000.0,840000000.0,7043000000.0,8394000000.0,9933000000.0,6750000000.0,-0.024854233266337,2,2023
2023-09-30,53.04898349016711,52.51757469914882,0.1403169177827387,5.260000000000001,49605000000.0,147431000000.0,22749000000.0,14564000000.0,5320000000.0,67638000000.0,108000000.0,10330000000.0,21217000000.0,2795000000.0,-808000000.0,-1304035087.7192984,-808000000.0,0.0,0.0,0.0,9879000000.0,0.36,62.069,11188000000.0,13112000000.0,776000000.0,-806000000.0,806000000.0,12185000000.0,2306000000.0,806000000.0,8556000000.0,12991000000.0,14430000000.0,9879000000.0,0.1952485773958304,4,2023
2023-12-31,57.18584641632204,69.16746641179643,0.082222348167782,5.33,73387000000.0,159019000000.0,30476000000.0,13393000000.0,6897000000.0,67329000000.0,109000000.0,10383000000.0,42465000000.0,14517000000.0,9622000000.0,-1304035087.7192984,-2643000000.0,0.0,0.0,0.0,10624000000.0,0.2,25.0,13209000000.0,36212000000.0,901000000.0,-713000000.0,713000000.0,13666000000.0,3042000000.0,713000000.0,12587000000.0,14379000000.0,16461000000.0,10624000000.0,0.18717916272493,4,2023
2024-03-31,59.67391152253407,71.30274357933227,0.1875415239177771,5.33,72852000000.0,157036000000.0,22770000000.0,12222000000.0,5568000000.0,66902000000.0,109000000.0,10403000000.0,18989000000.0,-9714000000.0,925000000.0,-1304035087.7192984,-1776000000.0,0.0,0.0,0.0,10431000000.0,0.16,19.5122,15307000000.0,12404000000.0,993000000.0,-644000000.0,644000000.0,12898000000.0,2467000000.0,644000000.0,9873000000.0,13542000000.0,14483000000.0,10431000000.0,0.0713493445437522,3,2024
2024-06-30,53.87696056357088,60.94510052384768,0.2563491094680064,5.33,71178000000.0,160798000000.0,22879000000.0,17914000000.0,5906000000.0,62759000000.0,110000000.0,10490000000.0,25281000000.0,6412000000.0,6140000000.0,-1304035087.7192984,3085000000.0,0.0,0.0,0.0,13485000000.0,0.23,22.3301,14672000000.0,13553000000.0,1180000000.0,-250416666.66666663,589000000.0,15252000000.0,1767000000.0,589000000.0,13090000000.0,14672000000.0,15620000000.0,13485000000.0,-0.0358085286879446,2,2024
2024-09-30,50.9933862829029,57.86988120486826,0.2273428440093994,5.263333333333333,20693081967.21312,69762868852.45901,9838672131.14754,12573672131.14754,2440475409.836066,24155696428.571423,21852459.01639344,1924163934.4262292,7097983606.557377,1653786885.2459016,881721311.4754099,-1304035087.7192984,551016393.4426229,98360655.73770492,114098360.6557377,-138490566.03773585,2226311475.4098363,0.052258064516129,32.2899693548387,2731290322.580645,6108935483.870968,147409836.06557378,-250416666.66666663,252032258.06451613,2579596774.193548,386338709.67741936,255967213.11475408,2174295081.967213,2812774193.548387,4384306451.612904,2193258064.516129,0.077789616570719,3,2024
