,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,netIncome
26,2017-12-31,USD,12358000000,773051724.137931,-1218000000,2255000000,3498000000,3619000000,-2781000000.0,2255000000,1856000000,-1981000000,-2571000000,0,0,0.0,7755000000.0,1856000000
27,2017-09-30,USD,3777000000,773051724.137931,6808000000,1593000000,2912000000,3074000000,-1757000000.0,1593000000,256000000,-18478000000,14662000000,0,0,0.0,-436000000.0,256000000
28,2017-06-30,USD,3850000000,773051724.137931,5135000000,682000000,2633000000,3401000000,-1242000000.0,682000000,197000000,-5274000000,-1274000000,0,0,0.0,-2237000000.0,197000000
29,2017-03-31,USD,-1619000000,4000000.0,-2811000000,-947000000,2435000000,1861000000,994000000.0,-947000000,724000000,-1350000000,-888000000,0,0,0.0,-3894000000.0,724000000
30,2016-12-31,USD,10919000000,480000000.0,11257000000,1043000000,2297000000,3073000000,-1924000000.0,1043000000,752000000,-3814000000,-568000000,0,0,0.0,5678000000.0,749000000
31,2016-09-30,USD,4659000000,174000000.0,5342000000,1095000000,2084000000,1841000000,-671000000.0,1095000000,252000000,-2570000000,-1000000000,0,0,0.0,1135000000.0,252000000
32,2016-06-30,USD,3578000000,256000000.0,3317000000,57000000,1909000000,1711000000,-1184000000.0,57000000,857000000,-2439000000,-1152000000,0,0,0.0,51000000.0,857000000
33,2016-03-31,USD,-1953000000,209000000.0,-2956000000,-769000000,1827000000,1179000000,412000000.0,-769000000,513000000,-693000000,-996000000,0,0,0.0,-3420000000.0,513000000
34,2015-12-31,USD,8931000000,55000000.0,8562000000,1343000000,1752000000,1309000000,-1178000000.0,1343000000,485000000,-1850000000,-1809000000,0,0,0.0,5181000000.0,482000000
35,2015-09-30,USD,2610000000,102000000.0,3809000000,1537000000,1599000000,1195000000,-588000000.0,1537000000,79000000,-1377000000,-730000000,0,0,0.0,440000000.0,79000000
36,2015-06-30,USD,1997000000,247000000.0,1770000000,27000000,1504000000,1213000000,-430000000.0,27000000,92000000,-1376000000,-691000000,0,0,0.0,32000000.0,92000000
37,2015-03-31,USD,-1499000000,39000000.0,-2446000000,-721000000,1426000000,871000000,441000000.0,-721000000,-57000000,-1847000000,-652000000,0,0,0.0,-4320000000.0,-57000000
38,2014-12-31,USD,6715000000,-80000000.0,6431000000,1139000000,1379000000,1145000000,-1105000000.0,1139000000,634000000,-2465000000,5209000000,0,0,0.0,9299000000.0,214000000
39,2014-09-30,USD,1766000000,7000000.0,2793000000,845000000,1247000000,1378000000,-362000000.0,845000000,-437000000,-946000000,-412000000,0,0,0.0,201000000.0,-437000000
40,2014-06-30,USD,862000000,31000000.0,550000000,-92000000,1109000000,1290000000,-299000000.0,-92000000,-126000000,-731000000,-189000000,0,0,0.0,-17000000.0,-126000000
41,2014-03-31,USD,-2502000000,139000000.0,-3583000000,-699000000,1010000000,1080000000,727000000.0,-699000000,108000000,-924000000,-175000000,0,0,0.0,-3584000000.0,108000000
42,2013-12-31,USD,5578000000,115000000.0,5947000000,1330000000,963000000,879000000,-1239000000.0,1330000000,272000000,-844000000,57000000,0,0,0.0,4786000000.0,239000000
43,2013-09-30,USD,1388000000,8000000.0,1619000000,586000000,834000000,1038000000,-125000000.0,586000000,-41000000,-1063000000,-230000000,0,0,0.0,168000000.0,-41000000
44,2013-06-30,USD,880000000,39000000.0,-77000000,241000000,756000000,855000000,211000000.0,30000000,-7000000,-1420000000,-209000000,0,0,0.0,-777000000.0,-7000000
45,2013-03-31,USD,-2372000000,13000000.0,-4890000000,-1264000000,700000000,670000000,-729000000.0,-535000000,82000000,-950000000,-157000000,0,0,0.0,-3603000000.0,82000000
46,2012-12-31,USD,5081000000,249000000.0,6337000000,1999000000,662000000,2026000000,1025000000.0,974000000,187000000,-3082000000,3166000000,0,0,0.0,5104000000.0,97000000
47,2012-09-30,USD,943000000,73000000.0,1319000000,1063000000,554000000,716000000,416000000.0,647000000,-274000000,-369000000,31000000,0,0,0.0,645000000.0,-274000000
48,2012-06-30,USD,594000000,93000000.0,239000000,290000000,485000000,657000000,166000000.0,124000000,7000000,-595000000,67000000,0,0,0.0,47000000.0,7000000
49,2012-03-31,USD,-2438000000,6000000.0,-4787000000,-1493000000,457000000,386000000,-746000000.0,-747000000,130000000,450000000,-1005000000,0,960000000,-960000000.0,-2981000000.0,130000000
50,2011-12-31,USD,4269000000,4000000.0,5760000000,2337000000,359000000,550000000,1077000000.0,1260000000,187000000,-1469000000,-333000000,0,0,-277000000.0,2446000000.0,97000000
51,2011-09-30,USD,797000000,4000000.0,957000000,662000000,278000000,529000000,75000000.0,587000000,63000000,100000000,-82000000,0,0,-138490566.03773585,776000000.0,-274000000
52,2011-06-30,USD,423000000,3000000.0,177000000,347000000,244000000,433000000,73000000.0,274000000,191000000,-951000000,-91000000,0,0,-138490566.03773585,-594000000.0,7000000
53,2011-03-31,USD,-1586000000,10000000.0,-2832000000,-702000000,202000000,298000000,-359000000.0,-343000000,201000000,390000000,24000000,0,0,-138490566.03773585,-1136000000.0,130000000
54,2010-12-31,USD,3488000000,16000000.0,4160000000,1336000000,170000000,328000000,643000000.0,693000000,422000000,-1215000000,-43000000,0,0,-138490566.03773585,2238000000.0,416000000
55,2010-09-30,USD,855000000,19000000.0,1086000000,569000000,150000000,315000000,64000000.0,505000000,231000000,-1128000000,93000000,0,0,-138490566.03773585,-90000000.0,231000000
56,2010-06-30,USD,250000000,46000000.0,119000000,183000000,129000000,196000000,42000000.0,141000000,207000000,-475000000,43000000,0,0,-138490566.03773585,-215000000.0,207000000
57,2010-03-31,USD,-1098000000,6000000.0,-2253000000,-775000000,119000000,140000000,-454000000.0,-321000000,299000000,-542000000,87000000,0,0,-138490566.03773585,-1600000000.0,299000000
58,2009-12-31,USD,2611000000,6000000.0,2662000000,848000000,112000000,137000000,509000000.0,339000000,386000000,-1608000000,-51000000,0,0,-100000000.0,930000000.0,384000000
59,2009-09-30,USD,799000000,12000000.0,698000000,431000000,96000000,103000000,155000000.0,276000000,199000000,-302000000,64000000,0,0,-138490566.03773585,578000000.0,199000000
60,2009-06-30,USD,468000000,25000000.0,50000000,7000000,84000000,78000000,-16000000.0,23000000,142000000,-279000000,-3000000,0,0,-3000000.0,235000000.0,142000000
