iter	Passed	Remaining
0	24	24961
1	33	16865
2	40	13410
3	47	11775
4	55	11081
5	62	10287
6	69	9791
7	76	9540
8	83	9210
9	91	9074
10	97	8780
11	105	8690
12	113	8601
13	122	8649
14	132	8692
15	139	8609
16	146	8485
17	155	8472
18	162	8388
19	171	8395
20	179	8352
21	186	8294
22	195	8300
23	203	8284
24	212	8274
25	220	8259
26	229	8260
27	242	8428
28	256	8595
29	263	8517
30	269	8426
31	276	8350
32	282	8268
33	288	8184
34	294	8125
35	300	8051
36	307	7995
37	313	7931
38	319	7873
39	325	7804
40	332	7768
41	338	7710
42	343	7655
43	349	7599
44	355	7547
45	362	7509
46	367	7456
47	372	7391
48	378	7344
49	384	7310
50	391	7279
51	398	7257
52	403	7212
53	409	7182
54	416	7149
55	421	7110
56	428	7086
57	433	7047
58	439	7013
59	446	6990
60	452	6961
61	458	6941
62	464	6904
63	469	6872
64	476	6853
65	482	6821
66	488	6799
67	494	6782
68	500	6757
69	506	6730
70	512	6701
71	518	6680
72	524	6663
73	530	6639
74	537	6624
75	543	6609
76	549	6586
77	556	6573
78	562	6556
79	568	6533
80	574	6517
81	581	6505
82	586	6484
83	593	6472
84	599	6452
85	605	6436
86	611	6413
87	616	6386
88	622	6369
89	627	6345
90	633	6330
91	640	6324
92	646	6302
93	654	6305
94	664	6334
95	677	6375
96	689	6415
97	698	6432
98	707	6434
99	713	6418
100	723	6438
101	730	6435
102	739	6441
103	746	6433
104	753	6421
105	759	6405
106	765	6388
107	771	6376
108	778	6363
109	785	6352
110	791	6338
111	797	6321
112	803	6309
113	809	6294
114	815	6273
115	822	6265
116	830	6265
117	836	6255
118	843	6244
119	855	6272
120	861	6260
121	870	6264
122	876	6247
123	882	6236
124	888	6220
125	895	6209
126	902	6206
127	909	6193
128	917	6192
129	924	6184
130	930	6174
131	937	6162
132	943	6149
133	951	6147
134	957	6135
135	964	6125
136	970	6111
137	975	6094
138	982	6083
139	987	6063
140	993	6053
141	1004	6068
142	1010	6054
143	1016	6041
144	1022	6029
145	1028	6017
146	1035	6006
147	1045	6018
148	1051	6005
149	1057	5992
150	1063	5981
151	1070	5969
152	1075	5953
153	1081	5942
154	1086	5922
155	1091	5905
156	1098	5898
157	1105	5888
158	1113	5891
159	1119	5877
160	1126	5869
161	1132	5859
162	1142	5866
163	1148	5853
164	1154	5840
165	1159	5827
166	1165	5813
167	1170	5798
168	1176	5783
169	1181	5766
170	1186	5750
171	1193	5745
172	1202	5747
173	1208	5738
174	1214	5725
175	1219	5710
176	1225	5698
177	1230	5681
178	1235	5665
179	1241	5655
180	1247	5643
181	1253	5633
182	1259	5623
183	1265	5612
184	1271	5601
185	1277	5591
186	1283	5580
187	1289	5570
188	1295	5558
189	1300	5545
190	1306	5535
191	1312	5523
192	1318	5513
193	1324	5503
194	1331	5494
195	1337	5484
196	1343	5476
197	1350	5468
198	1361	5478
199	1370	5483
200	1377	5475
