Date,Open,High,Low,Close,Volume,MA_21,RSI,MACD,Stochastic_Oscillator,ATR,Momentum_21,OBV,Cumulative_Return,Volatility,Price_Gap,Consumer_Price_Index_Quarterly,Durable_Goods_Orders_Quarterly,Retail_Sales_Quarterly,Unemployment_Rate_Quarterly,cashAndShortTermInvestments,inventory,shortTermInvestments,otherCurrentAssets,retainedEarnings,changeInOperatingLiabilities,changeInOperatingAssets,capitalExpenditures,changeInReceivables,changeInInventory,surprisePercentage,grossProfit,costOfRevenue,costofGoodsAndServicesSold,incomeTaxExpense,Forward_Return,Price_Movement_Class,Year
2023-03-31,85.45999908447266,114.0,81.43000030517578,103.29000091552734,4237140900,94.57442408736034,54.28370403153059,1.4113842538525034,57.0351766869378,2.624101322367444,11.16000366210939,175409463100,38.00220874906748,4.137302303446701,-0.0645161290322569,300.6153333333333,274724.0,557294.6666666666,274724.0,64405000000.0,34170000000.0,15062000000.0,377000000.0,86365000000.0,-10446000000.0,-371000000.0,14207000000.0,1521000000.0,-371000000.0,47.619,43403000000.0,83202000000.0,67791000000.0,948000000.0,26.20776401867071,4,2023
2023-06-30,102.3000030517578,131.49000549316406,97.70999908447266,130.36000061035156,3899624000,109.5378035737256,62.97985751066664,3.396108502829577,74.22262989010217,2.1995274416312665,9.77999877929689,177725328500,47.96173793990568,3.658027172849887,0.2709680372668858,304.19966666666664,295084.3333333333,606774.0,295084.3333333333,63970000000.0,36587000000.0,14441000000.0,9000000000.0,93115000000.0,3185000000.0,2373000000.0,11455000000.0,-5167000000.0,2373000000.0,85.7143,48693000000.0,84859000000.0,69373000000.0,804000000.0,-2.4854233266337045,1,2023
2023-09-30,130.82000732421875,145.86000061035156,123.04000091552734,127.12000274658205,3389452900,133.134233412739,53.04898349016711,-2.4812208647777823,52.51757469914882,2.5891168382432737,-7.950004577636704,179424738200,46.76968571728833,3.4259821556939163,0.1403169177827387,306.8353333333333,286764.3333333333,605115.3333333334,286764.3333333333,64169000000.0,35406000000.0,14564000000.0,5320000000.0,102994000000.0,2795000000.0,-808000000.0,12479000000.0,-1304035087.7192984,-808000000.0,62.069,52610000000.0,89573000000.0,75022000000.0,2306000000.0,19.524857739583044,4,2023
2023-12-31,127.27999877929688,155.6300048828125,118.3499984741211,151.94000244140625,3181680200,137.2429332199731,57.18584641632204,2.7820320006179884,69.16746641179643,2.6028567203859088,5.6199951171875,181279146600,55.90140031883898,4.435648599782541,0.082222348167782,307.156,288459.6666666667,630860.3333333334,288459.6666666667,86780000000.0,33318000000.0,13393000000.0,6897000000.0,113618000000.0,14517000000.0,9622000000.0,14588000000.0,-1304035087.7192984,-2643000000.0,25.0,39401000000.0,129927000000.0,92553000000.0,3042000000.0,18.717916272493003,4,2023
2024-03-31,151.5399932861328,181.6999969482422,144.0500030517578,180.3800048828125,2700335000,162.64305914015995,59.67391152253407,2.546693016512336,71.30274357933227,2.503676939345634,7.220001220703125,182772161800,66.36497762567036,4.172435287600243,0.1875415239177771,310.3583333333333,275435.3333333333,572477.0,275435.3333333333,85074000000.0,31147000000.0,12222000000.0,5568000000.0,124049000000.0,-9714000000.0,925000000.0,14925000000.0,-1304035087.7192984,-1776000000.0,19.5122,56617000000.0,85978000000.0,72633000000.0,2467000000.0,7.134934454375223,4,2024
2024-06-30,180.7899932861328,199.83999633789065,166.32000732421875,193.25,2622598800,182.06868521877067,53.87696056357088,2.6080099269386494,60.94510052384768,2.844398913740298,11.229995727539093,184123298000,71.10007527992279,3.8408625551044633,0.2563491094680064,313.9306666666667,282632.3333333333,617874.0,282632.3333333333,89092000000.0,34109000000.0,17914000000.0,5906000000.0,137534000000.0,6412000000.0,6140000000.0,17620000000.0,-1304035087.7192984,3085000000.0,22.3301,59553000000.0,88286000000.0,73785000000.0,1767000000.0,-3.5808528687944694,1,2024
2024-09-30,193.4900054931641,201.1999969482422,151.61000061035156,186.3300018310547,2604113800,182.4346953233083,50.9933862829029,3.399506187909481,57.86988120486826,3.823793837002341,14.210006713867188,185401907000,68.5540861945467,6.970830292986596,0.2273428440093994,314.668,279076.5,633385.0,279076.5,33266754098.360657,14953409836.065577,12573672131.14754,2440475409.836066,27858852459.01639,1653786885.2459016,881721311.4754099,5245475409.836065,-1304035087.7192984,551016393.4426229,32.2899693548387,22049193548.387096,38655209677.41936,33353483870.967743,386338709.67741936,7.778961657071904,0,2024
